threads_per_block;time_in_seconds;
32;5.176960e-01;
64;1.063296e+00;
96;5.192960e-01;
128;5.304000e-01;
160;5.301120e-01;
192;1.449888e+00;
224;1.605344e+00;
256;5.633280e-01;
288;5.309440e-01;
320;1.460736e+00;
352;5.617600e-01;
384;7.028800e-01;
416;5.166080e-01;
448;5.223680e-01;
480;5.287680e-01;
512;8.159040e-01;
544;5.332480e-01;
576;5.320960e-01;
608;5.276480e-01;
640;5.226880e-01;
672;5.227520e-01;
704;6.572160e-01;
736;5.165120e-01;
768;5.237440e-01;
800;5.227520e-01;
832;7.493120e-01;
864;5.283520e-01;
896;5.306560e-01;
928;5.309120e-01;
960;5.304000e-01;
992;5.223680e-01;
1024;1.481216e+00;
